,KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS,ADDRESS,location,point,latitude,longitude
0,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-532445,RUMAH SAKIT LANUD SULAIMAN,JL TERUSAN KOPO KM 10 NO 457,,22.0,,08126785149,,,7-11755954486,RUMAH SAKIT TC,,AKTIF,"RUMAH SAKIT LANUD SULAIMAN,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
1,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-532444,KLINIK RATNASARI SEHAT,JL SOREANG BANJARAN DESA CILUNCAT,,22.0,,081321134979,,,7-11755426705,KLINIK TC,,AKTIF,"KLINIK RATNASARI SEHAT,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
2,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542438,KLINIK AFIATI CICALENGKA,JL RAYA BARAT NO.157 CICALENGKA KAB.BANDUNG,,,0811231937,0811231937,,,7-11495091399,KLINIK TC,,AKTIF,"KLINIK AFIATI CICALENGKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
3,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542439,KLINIK AFIATI SOREANG,JL RAYA SOREANG ¿ BANJARAN NO.298 KAB.BANDUNG,,,0811231937,0811231937,,,7-11495091397,KLINIK TC,,AKTIF,"KLINIK AFIATI SOREANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
4,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542443,KLINIK AFIATI BOJONGSOANG,JL RAYA BOJONGSOANG NO.98 KAB.BANDUNG,,,0811231937,0811231937,,,7-11495091395,KLINIK TC,,AKTIF,"KLINIK AFIATI BOJONGSOANG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
5,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542440,KLINIK CAHAYA QALBU,JL. LASWI NO. 480 CIKOPO CIPARAY,,,022 8596 33 55,081214696423,,,7-11491997529,KLINIK TC,,AKTIF,"KLINIK CAHAYA QALBU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
6,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542441,KLINIK MEDIKA PRATAMA III,JL RAYA BANJARAN NO.534 RT04/06 DS. SUKASARI PAMEUNGPEUK,,,022 - 85933883,082126088521,,,7-11491997527,KLINIK TC,,AKTIF,"KLINIK MEDIKA PRATAMA III,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
7,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542442,KLINIK MEDIKA PRATAMA II,JL RAYA BANDUNG GARUT KM.21 NO. 26A RANCAEKEK,,,022 - 87830370,082126088521,,,7-11491997525,KLINIK TC,,AKTIF,"KLINIK MEDIKA PRATAMA II,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
8,K12,BANDUNG SOEKARNO HATTA,K12,KANWIL JAWA BARAT,PPK-542444,NAYAKA ERA HUSADA 05,JL. MOH. TOHA RT. 02 RW. 06 KP. PALASARI PASAWAHAN DAYEUH KOLOT,,,022 6640384,081322181881,022 6640384,022 6640384,7-11491997523,KLINIK TC,,AKTIF,"NAYAKA ERA HUSADA 05,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
9,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-512211,KLINIK UTAMA CAHAYA KALBU,"JL. SUKARAJA NO 318, CICENDO, BANDUNG",,,,081286355604,,,7-11333739995,KLINIK TC,,AKTIF,"KLINIK UTAMA CAHAYA KALBU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
