KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552436,RS SITO HUSADA,"JL KH. DEWANTARA, NO. 15, BERDAO, ATAMBUA BARAT",,,,081339054346,,,7-11925227680,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552437,PUSKESMAS BANI-BANI,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11925192959,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552438,PUSKESMAS ALKANI,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11925150208,KLINIK TC,,AKTIF
A03,MEULABOH,A03,KANWIL SUMBAGUT,PPK-332581,KLINIK AMANAH,JALAN ISKANDAR MUDA NO.12 GAMPONG SEULUMPANG PAYONG KECAMATAN BLANG PIDIE KAB.ACEH BARAT DAYA,,,,081360065807,081360065807,081360065807,7-8231180423,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552440,PUSKESMAS SEON,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11924097636,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552441,PUSKESMAS SARINA,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11923937560,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552442,PUSKESMAS NUROBO,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11922675209,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552443,PUSKESMAS UABAU,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11915538044,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552444,PUSKESMAS TUNABESI,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11915470983,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552445,PUSKESMAS KAPUTU,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11915162292,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552446,PUSKESMAS TAFULI,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914968669,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552447,PUSKESMAS OEKMURAK,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914883685,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552448,PUSKESMAS BIUDUKFOHO,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914786194,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552449,PUSKESMAS WEKMIDAR,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914653890,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552450,PUSKESMAS WEOE,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914625049,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552451,PUSKESMAS BESIKAMA,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914346258,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552452,PUSKESMAS WELIMAN,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914263147,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552453,PUSKESMAS FAHILUKA,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914185336,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552454,PUSKESMAS BETUN,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914118185,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552455,PUSKESMAS NAMFALUS,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11914117684,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-552456,PUSKESMAS ALAS,"LAKEKUN UTARA, KOBALIMA",,,,081337326555,,,7-11912996813,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542488,PUSKESMAS TANJUNG BARU OKU,JL. KARANG ANYAR-TANJUNG BARU OKU,,,,,,,7-11865260505,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542487,PUSKESMAS MUARA JAYA OKU,JL. RAYA DESA MUARA JAYA OKU,,,,,,,7-11865259704,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542486,PUSKESMAS ULAK PANDAN OKU,DESA ULAK PANDAN OKU,,,,,,,7-11865196583,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542485,PUSKESMAS PENYANDINGAN OKU,JL. RAYA MUARA DUA OKU,,,,,,,7-11865195892,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542484,PUSKESMAS PENGARINGAN OKU,JL. LINTAS SUMATERA KM. 16 OKU,,,,,,,7-11865140581,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542483,PUSKESMAS KARYA MUKTI OKU,DESA KARYA MUKTI OKU,,,,,,,7-11865127390,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542482,PUSKESMAS LUBUK BATANG OKU,JL. LINTAS BATURAJA-LUBUK BATANG OKU,,,,,,,7-11865091979,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542481,PUSKESMAS PENINJAUAN OKU,JL. PUTRI CANDI DESA PENINJAUAN OKU,,,,,,,7-11865054768,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542480,PUSKESMAS TANJUNG LENGKAYAP OKU,JL. LINTAS MUARA DUA KM. 30 NO. 193 OKU,,,,,,,7-11865007527,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542479,PUSKESMAS KEMALARAJA OKU,JL. DR SETIA BUDI BATURAJA OKU,,,,,,,7-11864978916,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542478,PUSKESMAS SUKARAYA OKU,JL. PROF HAMKA SRIWIJAYA OKU,,,,,,,7-11864946715,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542477,PUSKESMAS SEKAR JAYA OKU,JL. KORPRI HAMKA LR. AMNGGIS NO. 556 OKU,,,,,,,7-11864906844,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542476,PUSKESMAS LUBUK RUKAM OKU,JL. K.H.M. BARLIAN OKU,,,,,,,7-11864875943,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542475,PUSKESMAS MENDINGIN OKU,JL. RAYA MENDINGIN KM. 9 OKU,,,,,,,7-11864773104,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542474,PUSKESMAS PENGANDONAN OKU,JL. LINTAS SUMATERA KM.45,,,,,,,7-11864728053,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542473,PUSKESMAS BATUMARTA UNIT II OKU,JL. RAYA BATUMARTA II,,,,,,,7-11864669292,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542472,PUSKESMAS TANJUNG AGUNG OKU,JL. KOL.BURLIAN NO. 121 BATURAJA BARAT,,,,,,,7-11864619531,KLINIK TC,,AKTIF
000,MALUKU,000,KANWIL SULAWESI MALUKU,PPK-542445,RSUD MASOHI,JL.DR.G.A.SIWABESSY MASOHI,,,,085243179021,,,7-11858028780,RUMAH SAKIT TC,,AKTIF
N11,SIDOARJO,N11,KANWIL JATIM,PPK-542471,CV KENZIE'S TECHNOPEDIST,TAMAN TIARA REGENCY II MEDITERANIAN CLUSTER C3-6,,,,081553900505,,,7-11853516483,SENTRA ORTHOSE / PROTHOSE,,AKTIF
