namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes
GEDUNG SMESCO - HIPPINDO,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,500,454,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-12T11:00:00,2021-07-12T11:00:00.000Z,7/12/2021,11:00:00,500,419,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,500,313,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-12T10:00:00,2021-07-12T10:00:00.000Z,7/12/2021,10:00:00,500,267,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-13T12:00:00,2021-07-13T12:00:00.000Z,7/13/2021,12:00:00,300,211,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-16T13:00:00,2021-07-16T13:00:00.000Z,7/16/2021,13:00:00,200,180,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-16T14:00:00,2021-07-16T14:00:00.000Z,7/16/2021,14:00:00,200,178,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
MALL KOTA KASABLANKA LT 3,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,400,177,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-15T14:00:00,2021-07-15T14:00:00.000Z,7/15/2021,14:00:00,200,173,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-15T13:00:00,2021-07-15T13:00:00.000Z,7/15/2021,13:00:00,200,173,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
GEDUNG SMESCO - HIPPINDO,2021-07-12T12:00:00,2021-07-12T12:00:00.000Z,7/12/2021,12:00:00,300,171,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated
MALL KOTA KASABLANKA LT 3,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,400,160,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated
