,namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes,ADDRESS,location,point,latitude,longitude
0,GEDUNG SMESCO - HIPPINDO,2021-07-13T11:00:00,2021-07-13T11:00:00.000Z,7/13/2021,11:00:00,500,454,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
1,GEDUNG SMESCO - HIPPINDO,2021-07-12T11:00:00,2021-07-12T11:00:00.000Z,7/12/2021,11:00:00,500,419,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
2,GEDUNG SMESCO - HIPPINDO,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,500,313,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
3,GEDUNG SMESCO - HIPPINDO,2021-07-12T10:00:00,2021-07-12T10:00:00.000Z,7/12/2021,10:00:00,500,267,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
4,GEDUNG SMESCO - HIPPINDO,2021-07-13T12:00:00,2021-07-13T12:00:00.000Z,7/13/2021,12:00:00,300,211,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
5,GEDUNG SMESCO - HIPPINDO,2021-07-16T13:00:00,2021-07-16T13:00:00.000Z,7/16/2021,13:00:00,200,180,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
6,GEDUNG SMESCO - HIPPINDO,2021-07-16T14:00:00,2021-07-16T14:00:00.000Z,7/16/2021,14:00:00,200,178,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
7,MALL KOTA KASABLANKA LT 3,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,400,177,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated,"MALL KOTA KASABLANKA LT 3,TEBET,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
8,GEDUNG SMESCO - HIPPINDO,2021-07-15T14:00:00,2021-07-15T14:00:00.000Z,7/15/2021,14:00:00,200,173,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
9,GEDUNG SMESCO - HIPPINDO,2021-07-15T13:00:00,2021-07-15T13:00:00.000Z,7/15/2021,13:00:00,200,173,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
10,GEDUNG SMESCO - HIPPINDO,2021-07-12T12:00:00,2021-07-12T12:00:00.000Z,7/12/2021,12:00:00,300,171,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
11,MALL KOTA KASABLANKA LT 3,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,400,160,deprecated,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,deprecated,"MALL KOTA KASABLANKA LT 3,TEBET,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
12,GEDUNG SMESCO - HIPPINDO,2021-07-14T13:00:00,2021-07-14T13:00:00.000Z,7/14/2021,13:00:00,200,149,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
13,GEDUNG SMESCO - HIPPINDO,2021-07-17T13:00:00,2021-07-17T13:00:00.000Z,7/17/2021,13:00:00,200,141,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
14,GEDUNG SMESCO - HIPPINDO,2021-07-14T14:00:00,2021-07-14T14:00:00.000Z,7/14/2021,14:00:00,200,138,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
15,GEDUNG SMESCO - HIPPINDO,2021-07-17T14:00:00,2021-07-17T14:00:00.000Z,7/17/2021,14:00:00,200,136,deprecated,KOTA ADM. JAKARTA SELATAN,PANCORAN,PANCORAN,deprecated,"GEDUNG SMESCO - HIPPINDO,PANCORAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
16,SDN PULAU KELAPA 01 PAGI,2021-07-13T10:00:00,2021-07-13T10:00:00.000Z,7/13/2021,10:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,deprecated,"SDN PULAU KELAPA 01 PAGI,KEPULAUAN SERIBU UTARA,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
17,RPTRA PULAU TIDUNG,2021-07-13T09:00:00,2021-07-13T09:00:00.000Z,7/13/2021,9:00:00,100,100,deprecated,KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,deprecated,"RPTRA PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,JAKARTA,INDONESIA","RPTRA Pulau Tidung, Pulau Tidung, Kepulauan Seribu Selatan, Kepulauan Seribu, Daerah Khusus Ibukota Jakarta, Indonesia","(-5.797151449999999, 106.493187, 0.0)",-5.797151449999999,106.493187
